Row,ClientId,Surname,ClientSatisfactionScore,ClientCountry,ClientGender,ClientAge,Years,Balance,AveragePurchases,PaymentMethods,IsActiveMember,AverageMonthlyExpense,Exited
1,64FBE3BAED5F29E6,Polyakova,0.622,Spain,Male,42,9,0,2,1,0,1191.2706,0
2,9991629435C5E20E,Goliwe,0.711,France,Female,32,1,0,2,1,0,1261.8842,0
3,E5C9FECD5B71BEBD,Wheeler,0.672,France,Male,47,1,0,1,0,0,915.7492,0
4,4CEA3EC8906DAEA8,De Luca,0.556,France,Male,35,10,0,2,1,1,1927.5118,0
5,77266B408503C55F,Batty,0.548,France,Female,33,1,80.10783,2,0,1,822.4567,0
6,E81C25D251767135,West,0.674,France,Female,27,4,79.14434,1,0,1,507.4383,0
7,797881859A9C90EF,T'ang,0.605,France,Female,62,4,111.06593,2,0,1,1256.6099,0
8,07D8E2E4CF03F1D8,Manfrin,0.726,Spain,Female,56,8,123.1109,3,0,1,1301.1378,1
9,4AC53C43066B3E66,Summers,0.634,Germany,Male,35,6,116.26901,1,1,0,1299.6494,0
10,1F2418001E121479,Fuller,0.566,Spain,Male,32,10,147.51126,1,1,1,1598.9103,0
11,99501E0F6F3A8A21,Johnston,0.736,Germany,Male,46,5,130.81291,1,1,1,779.8154,1
12,BD0AEE64DDDCB151,Jideofor,0.707,France,Female,40,5,0,2,1,0,410.5282,0
13,F71C064ED7B448D6,Chinwendu,0.569,France,Male,35,10,124.52552,1,1,1,1937.9378,0
14,0AE1A854C7478FC5,Ross,0.681,France,Male,47,9,97.02321,1,1,1,21.6813,0
15,D28AB42D50DC4820,Hao,0.626,Spain,Female,26,8,148.61041,3,0,1,1045.0202,1
16,DA8485771C09B755,Watson,0.554,Spain,Female,41,4,112.15289,1,0,1,362.4219,0
17,5057CA7991BC78E4,Liao,0.595,France,Male,31,4,0,2,1,0,1899.9586,0
18,4F1E8A5DF03D3410,Longo,0.85,France,Female,37,7,153.14775,1,1,1,1522.353,0
19,DCC01A03AC5E7EEA,Tien,0.773,Germany,Male,51,8,116.19765,2,1,1,867.014,0
20,40670E65199C760F,Wood,0.741,Spain,Male,50,1,78.73761,1,1,1,130.1896,0
21,139DC7BF83338D7C,Muecke,0.758,Germany,Female,47,9,95.52316,1,1,0,732.9448,0
22,06D5337B50BA9DCA,Byrne,0.47,Spain,Male,30,4,125.38501,1,1,0,682.9393,0
23,A1D6F53D087AFA09,Moran,0.616,Spain,Female,32,6,0,2,1,1,430.0146,0
24,8087BBF73282AE06,Ch'ang,0.641,France,Female,26,4,91.54784,2,0,1,281.5734,0
25,A037B1B21EFE5EB1,Mactier,0.619,France,Female,55,0,0,3,0,0,608.1064,1
26,921597C975192D93,Rahman,0.799,Spain,Female,28,3,142.25365,1,1,0,450.4256,0
27,84CEA5CDC92747D4,Y?,0.587,Spain,Male,42,5,120.23383,1,1,0,1948.9033,0
28,F90DD75C847A2E72,Wilson,0.652,France,Female,37,4,0,2,1,0,1433.9324,0
29,12345650C238776A,Nepean,0.659,France,Male,36,6,123.84149,2,1,0,968.33,0
30,40BBED610BDF842A,Lombardo,0.599,Spain,Male,34,2,101.50666,1,0,0,1980.3024,0
31,C4501300468A9E47,Robertson,0.556,Spain,Male,46,3,131.76496,1,1,1,1085.0066,1
32,34741ACB2E05546F,Mazzi,0.588,Spain,Male,33,2,0,2,1,1,124.8356,0
33,52BD7E5CE97D3263,Nkemakonam,0.714,Germany,Male,33,3,35.0166,1,1,0,536.6708,0
34,5937DED928303F68,Cooper,0.801,Spain,Female,46,6,0,2,1,1,1700.0874,0
35,ABB35E0F47C0BA32,Chou,0.67,Germany,Male,43,9,111.67788,1,1,0,1788.273,1
36,A63607E2E83B12A1,Ijendu,0.655,Germany,Female,61,2,183.9977,2,1,1,1612.1718,0
37,CC6C6740B8465DCA,Fiorentini,0.712,Germany,Male,43,1,141.74974,2,0,1,909.0526,0
38,02338744BD252571,Hung,0.614,Germany,Female,39,8,125.99722,1,1,1,1280.4934,1
39,159DD54530534494,Perkins,0.633,France,Male,35,10,0,2,1,0,656.7547,0
40,41A7C51BBCB63052,Black,0.641,France,Male,33,2,146.1936,2,1,1,557.9683,1
41,EDA5A41537B5B7E3,Tomlinson,0.756,France,Female,42,9,0,2,1,0,356.7342,0
42,39B8E225D48D10DF,Ibeamaka,0.701,Germany,Male,36,7,95.44832,2,1,0,1890.8507,0
43,657963093CFA6EF7,Jones,0.55,France,Female,22,7,139.09685,1,1,0,1298.9094,0
44,DCAE1F5D8706B189,Kao,0.482,France,Male,38,4,124.97619,1,1,0,358.4812,0
45,F013E01FBB89D8F9,Deleon,0.588,Germany,Male,41,6,106.11656,2,1,0,1987.6661,0
46,4D7CA444F87BF0D1,Bayley,0.793,Germany,Male,54,2,128.96613,1,0,0,186.334,1
47,124832EE7CA0CF41,Pugliesi,0.788,Spain,Female,70,1,0,2,1,1,416.1062,0
48,84D31718A615076E,Zetticci,0.775,Germany,Male,51,2,123.78325,1,1,1,1349.0157,0
49,DA637A729AFA8102,Hart,0.636,Spain,Male,36,1,0,3,1,1,740.481,1
50,4B4141CAFDC92156,Morley,0.642,Germany,Female,36,2,124.49598,3,1,1,579.0422,1
51,C9735B6AAA849F13,Dolgorukova,0.531,Germany,Female,64,2,175.75487,2,1,1,607.214,0
52,76A1E5E212E1930A,McCall,0.627,Spain,Male,44,6,0,1,1,1,1144.6955,0
53,E9FCC6438413688E,Virgo,0.744,France,Female,38,9,0,2,0,0,209.4076,0
54,4962084DF3DB6C7B,Asher,0.639,France,Male,37,5,98.1867,1,0,1,1733.8695,0
55,8C308C2648CAAC1A,Gibson,0.754,Spain,Male,39,7,157.69198,2,1,0,1336.0089,1
56,21D05C72F122B7E2,Volkova,0.625,France,Female,24,1,0,2,1,1,1809.6955,0
57,AD9D17E2635E2C44,Poole,0.763,Spain,Male,67,9,148.56466,1,0,1,872.364,0
58,B5AFC14A7F267440,Trevisani,0.643,Spain,Female,32,2,0,1,0,0,1313.0174,0
59,B012DB966D8EACFC,Trentino,0.645,France,Male,41,7,0,1,0,1,286.6756,0
60,5706AFAFFA180CBA,Byrne,0.487,Germany,Female,46,4,135.07058,2,1,1,442.4449,1
61,F85C8E847CB714F2,Watt,0.507,Germany,Female,46,8,102.78516,1,1,1,703.2368,0
62,24E4A3FE0E330B2F,Mullah,0.85,Spain,Male,37,2,0,2,1,0,1199.6999,0
63,813F4AE561AE7462,Alvarez,0.61,Germany,Male,36,7,115.46202,1,0,1,425.8104,0
64,26960115DA3973D6,Genovese,0.85,France,Female,36,0,164.85054,1,1,1,627.2244,0
65,E63563138FE70870,Reichard,0.721,Germany,Female,36,3,65.25307,2,1,0,287.3778,0
66,DB2658658A71C6D4,Calabresi,0.64,Spain,Female,34,3,77.8268,1,1,1,1685.4485,0
67,C4C9D47FCF12C395,Russo,0.642,France,Male,38,3,0,2,0,0,1714.6383,0
68,361DFB44950B31B4,Chao,0.738,France,Male,18,4,0,2,1,1,477.9915,0
69,B69387D99382657F,Tien,0.714,France,Female,31,4,125.16926,1,1,1,1066.3689,0
70,EB063178F7D365DA,McKinley,0.678,France,Female,60,2,0,2,1,1,438.2156,0
71,5FD8F1EC3225B9DB,Yashina,0.701,France,Male,51,9,0,2,0,0,619.6157,0
72,89B689195AEE7BD4,Huguley,0.64,France,Female,20,4,0,2,0,1,783.1082,0
73,B013B955DF7E9499,Thorpe,0.562,France,Male,42,2,100.23835,1,0,0,867.9741,0
74,391B0EFEC1CE3771,Schoenheimer,0.618,France,Female,31,4,0,2,1,0,291.7604,0
75,F6E29EE710C0E058,Willis,0.725,Spain,Female,36,4,118.52026,1,0,0,1311.739,1
76,6005BB7BD4E998A2,Nnachetam,0.707,Spain,Male,32,9,0,2,1,0,1264.7579,0
77,6B0BFA62D85DE96B,Ugochukwu,0.428,France,Female,62,1,107.73593,1,0,1,583.8177,0
78,3093BE2041123F61,Lung,0.697,France,Female,33,1,87.3477,1,1,0,1725.2451,0
79,1436635AC4FD84B7,Bates,0.759,France,Male,44,2,111.09558,2,1,0,1001.377,0
80,D46D2D60E6ACA9FD,Findlay,0.85,France,Male,61,1,0,1,1,0,530.6783,1
81,3E1DD5131F08ABA1,Sutherland,0.604,France,Male,33,3,148.65948,1,0,0,424.3775,0
82,FFF520BE40E9A227,Sanchez,0.668,Spain,Male,43,1,147.16725,1,0,0,1416.7973,0
83,FE4ADB16F24CB1E8,Ibezimako,0.704,France,Male,42,8,129.7353,2,1,1,1795.6557,0
84,3422586BA9CCECCF,Fu,0.628,France,Male,45,9,0,2,1,1,968.6256,0
85,00C47EE80F672E0E,Schofield,0.651,France,Male,45,2,165.90159,2,1,0,230.5451,1
86,F08945C8CA9ECE14,Manna,0.749,Spain,Female,46,9,66.58281,1,1,0,787.5312,1
87,FAC240DE497BD814,Buccho,0.642,France,Male,72,1,160.541,2,1,1,1422.2394,0
88,E910F505A669A23A,Kerr,0.671,Spain,Female,31,4,0,2,0,1,792.7002,0
89,9D011C207DE0B4A9,Ebelechukwu,0.583,France,Male,48,3,91.24653,1,1,0,600.1746,1
90,63601232FC38F148,Palmer,0.828,Spain,Male,28,8,134.76685,1,1,0,793.5587,0
91,8B488D7C69EC97A9,Kennedy,0.828,France,Female,41,7,0,2,1,0,1713.7877,0
92,69765EAEB7AC57A4,Duncan,0.745,France,Female,46,7,0,2,1,1,677.6994,0
93,B54C347EEA5A3DC0,Robinson,0.6,Germany,Male,30,2,119.755,1,1,1,218.5291,0
94,5A646B2BD719FAF6,Rapuokwu,0.749,France,Male,37,10,185.0637,2,1,1,1345.2687,0
95,7124D241235F2C5D,Barker,0.627,France,Female,21,7,98.99302,1,1,1,1691.5664,0
96,70EA67906F1AA90D,Thompson,0.507,Spain,Male,32,7,0,2,1,0,679.2618,0
97,7FD1B71E96F1FA30,Nwokezuike,0.553,Spain,Female,48,3,0,1,0,1,307.3095,1
98,D6EB748C0544D6EA,H?,0.684,France,Male,27,2,134.60388,1,1,1,717.2573,0
99,79B93D5A6903E602,McMillan,0.586,Germany,Male,32,1,149.81454,1,1,0,318.3006,0
100,DE6F4ED27C34FC72,Rueda,0.508,France,Male,31,8,72.54148,1,1,0,1298.0308,0
101,552289B67B53E366,Colombo,0.504,Spain,Female,46,2,163.76484,1,1,1,1651.2255,1
102,5A02CB14622DE5D1,Michael,0.668,Spain,Male,45,4,102.48621,2,1,1,1583.7925,0
103,5BDF693EC4BB5878,Chien,0.524,France,Male,50,4,0,2,1,1,318.4059,1
104,21CD58DFF6E8CF49,Andersen,0.559,France,Male,62,6,118.75662,1,1,1,203.6768,0
105,44921B2E449ADB27,Calabresi,0.473,France,Female,35,6,69.61736,1,1,0,1433.4569,0
106,E8F2B1E150D6F761,Lei,0.665,Germany,Female,51,9,110.61041,2,0,1,11.1276,1
107,D16F8A4658E7A73A,Uwakwe,0.695,Spain,Female,31,5,0,2,0,1,139.9888,0
108,77F434B2131EE254,Yin,0.555,Germany,Male,48,3,142.05541,2,0,1,791.3478,0
109,DBC0DCE639822E3D,Yuille,0.814,Germany,Male,29,8,97.0864,2,1,1,1972.7613,0
